Date,Views
20180120,412
20180121,469
20180122,448
20180123,402
20180124,363
20180125,359
20180126,399
20180127,398
20180128,511
20180129,413
20180130,411
20180131,387
20180201,369
20180202,453
20180203,480
20180204,514
20180205,480
20180206,484
20180207,584
20180208,616
20180209,552
20180210,495
20180211,596
20180212,622
20180213,534
20180214,482
20180215,504
20180216,707
20180217,690
20180218,883
20180219,897
20180220,806
20180221,656
20180222,600
20180223,913
20180224,806
20180225,784
20180226,795
20180227,648
20180228,512
20180301,629
20180302,748
20180303,580
20180304,833
20180305,606
20180306,500
20180307,517
20180308,517
20180309,555
20180310,710
20180311,640
20180312,625
20180313,717
20180314,580
20180315,474
20180316,703
20180317,774
20180318,807
20180319,806
20180320,725
20180321,636
