Date,Views
20180120,273
20180121,299
20180122,287
20180123,301
20180124,274
20180125,276
20180126,274
20180127,306
20180128,274
20180129,281
20180130,299
20180131,261
20180201,268
20180202,284
20180203,255
20180204,219
20180205,335
20180206,263
20180207,296
20180208,271
20180209,318
20180210,250
20180211,247
20180212,276
20180213,303
20180214,327
20180215,354
20180216,305
20180217,279
20180218,296
20180219,354
20180220,280
20180221,385
20180222,276
20180223,306
20180224,224
20180225,237
20180226,292
20180227,307
20180228,354
20180301,344
20180302,363
20180303,294
20180304,498
20180305,395
20180306,341
20180307,277
20180308,327
20180309,307
20180310,235
20180311,282
20180312,323
20180313,277
20180314,266
20180315,586
20180316,390
20180317,330
20180318,281
20180319,315
20180320,362
20180321,382
