Date,Views
20180120,614
20180121,681
20180122,824
20180123,759
20180124,818
20180125,836
20180126,586
20180127,563
20180128,590
20180129,807
20180130,1069
20180131,708
20180201,711
20180202,727
20180203,660
20180204,706
20180205,795
20180206,912
20180207,848
20180208,759
20180209,718
20180210,580
20180211,704
20180212,1133
20180213,882
20180214,865
20180215,1050
20180216,1125
20180217,1242
20180218,1589
20180219,1768
20180220,1530
20180221,1458
20180222,1153
20180223,1005
20180224,1035
20180225,1158
20180226,1315
20180227,1039
20180228,1211
20180301,1329
20180302,863
20180303,1576
20180304,1460
20180305,1300
20180306,1217
20180307,984
20180308,939
20180309,818
20180310,866
20180311,1042
20180312,1176
20180313,1076
20180314,1118
20180315,1031
20180316,861
20180317,864
20180318,977
20180319,1177
20180320,985
20180321,1032
