Date,Views
20180530,2449
20180531,2536
20180601,2465
20180602,2630
20180603,2763
20180604,2316
20180605,2356
20180606,2212
20180607,2212
20180608,2361
20180609,2345
20180610,2400
20180611,2172
20180612,2135
20180613,2381
20180614,2217
20180615,2210
20180616,2573
20180617,2618
20180618,2380
20180619,2269
20180620,2186
20180621,2137
20180622,2166
20180623,2503
20180624,2421
20180625,2320
20180626,2250
20180627,2343
20180628,2334
20180629,2415
20180630,2626
20180701,2347
20180702,2393
20180703,2268
20180704,2626
20180705,2624
20180706,3247
20180707,2835
20180708,2933
20180709,2521
20180710,2306
20180711,2515
20180712,2487
20180713,2701
20180714,2508
20180715,2729
20180716,2862
20180717,2338
20180718,2194
20180719,2336
20180720,2801
20180721,2708
20180722,2626
20180723,2506
20180724,2434
20180725,2393
20180726,2401
20180727,2666
20180728,2731
20180729,2760
