Date,Views
20180530,172
20180531,156
20180601,123
20180602,193
20180603,194
20180604,195
20180605,177
20180606,138
20180607,122
20180608,115
20180609,96
20180610,127
20180611,180
20180612,183
20180613,144
20180614,149
20180615,141
20180616,140
20180617,170
20180618,147
20180619,202
20180620,180
20180621,167
20180622,127
20180623,109
20180624,122
20180625,117
20180626,147
20180627,129
20180628,129
20180629,154
20180630,128
20180701,100
20180702,137
20180703,152
20180704,163
20180705,121
20180706,125
20180707,111
20180708,122
20180709,153
20180710,125
20180711,112
20180712,141
20180713,118
20180714,100
20180715,128
20180716,138
20180717,191
20180718,136
20180719,102
20180720,117
20180721,108
20180722,127
20180723,121
20180724,138
20180725,116
20180726,114
20180727,127
20180728,150
20180729,229
