Date,Views
20180419,127
20180420,133
20180421,134
20180422,145
20180423,133
20180424,107
20180425,134
20180426,182
20180427,121
20180428,134
20180429,120
20180430,176
20180501,144
20180502,117
20180503,162
20180504,125
20180505,172
20180506,127
20180507,142
20180508,163
20180509,131
20180510,133
20180511,145
20180512,165
20180513,156
20180514,169
20180515,127
20180516,128
20180517,129
20180518,108
20180519,134
20180520,158
20180521,145
20180522,138
20180523,156
20180524,131
20180525,121
20180526,121
20180527,124
20180528,123
20180529,144
20180530,143
20180531,103
20180601,116
20180602,118
20180603,118
20180604,127
20180605,82
20180606,103
20180607,121
20180608,118
20180609,115
20180610,102
20180611,95
20180612,108
20180613,135
20180614,100
20180615,132
20180616,143
20180617,126
20180618,101
