Date,Views
20180419,3772
20180420,3699
20180421,3328
20180422,4201
20180423,5567
20180424,13875
20180425,39643
20180426,8930
20180427,4440
20180428,3254
20180429,3664
20180430,4037
20180501,3638
20180502,3415
20180503,3436
20180504,2835
20180505,2447
20180506,3976
20180507,3725
20180508,3371
20180509,3157
20180510,2909
20180511,3123
20180512,2769
20180513,2926
20180514,3051
20180515,2931
20180516,2866
20180517,2850
20180518,2652
20180519,2538
20180520,3980
20180521,3504
20180522,3200
20180523,2979
20180524,2884
20180525,2482
20180526,2562
20180527,3024
20180528,3299
20180529,3601
20180530,3640
20180531,2766
20180601,2514
20180602,2549
20180603,3297
20180604,3335
20180605,2839
20180606,2734
20180607,2577
20180608,5806
20180609,3479
20180610,3423
20180611,3190
20180612,3238
20180613,2723
20180614,3417
20180615,2917
20180616,2333
20180617,2661
20180618,2531
