Date,Views
20180419,140
20180420,153
20180421,156
20180422,238
20180423,157
20180424,156
20180425,204
20180426,480
20180427,251
20180428,180
20180429,333
20180430,224
20180501,148
20180502,159
20180503,164
20180504,249
20180505,227
20180506,158
20180507,158
20180508,319
20180509,475
20180510,195
20180511,288
20180512,460
20180513,601
20180514,283
20180515,288
20180516,266
20180517,260
20180518,203
20180519,198
20180520,395
20180521,329
20180522,336
20180523,572
20180524,552
20180525,230
20180526,365
20180527,196
20180528,212
20180529,398
20180530,527
20180531,651
20180601,323
20180602,277
20180603,231
20180604,279
20180605,295
20180606,276
20180607,276
20180608,284
20180609,252
20180610,234
20180611,168
20180612,139
20180613,260
20180614,190
20180615,207
20180616,240
20180617,399
20180618,288
