Date,Views
20180419,27
20180420,16
20180421,74
20180422,31
20180423,73
20180424,70
20180425,60
20180426,40
20180427,53
20180428,41
20180429,49
20180430,38
20180501,32
20180502,34
20180503,42
20180504,37
20180505,30
20180506,37
20180507,33
20180508,44
20180509,39
20180510,87
20180511,56
20180512,88
20180513,131
20180514,127
20180515,120
20180516,150
20180517,234
20180518,499
20180519,2301
20180520,1160
20180521,657
20180522,463
20180523,301
20180524,238
20180525,175
20180526,161
20180527,129
20180528,108
20180529,98
20180530,87
20180531,64
20180601,43
20180602,73
20180603,61
20180604,47
20180605,73
20180606,53
20180607,58
20180608,34
20180609,38
20180610,61
20180611,31
20180612,49
20180613,32
20180614,58
20180615,30
20180616,35
20180617,37
20180618,30
