Date,Views
20191018,79
20191019,58
20191020,61
20191021,67
20191022,81
20191023,65
20191024,82
20191025,54
20191026,63
20191027,83
20191028,68
20191029,86
20191030,102
20191031,78
20191101,60
20191102,66
20191103,64
20191104,86
20191105,68
20191106,63
20191107,69
20191108,49
20191109,82
20191110,153
20191111,85
20191112,100
20191113,94
20191114,77
20191115,81
20191116,84
20191117,68
20191118,91
20191119,92
20191120,73
20191121,105
20191122,152
20191123,82
20191124,97
20191125,71
20191126,74
20191127,73
20191128,85
20191129,61
20191130,80
20191201,93
20191202,101
20191203,75
20191204,65
20191205,74
20191206,74
20191207,42
20191208,62
20191209,76
20191210,86
20191211,72
20191212,80
20191213,68
20191214,76
20191215,63
20191216,51
20191217,62
