Date,Views
20191018,2151
20191019,2700
20191020,3915
20191021,2690
20191022,2584
20191023,2336
20191024,2064
20191025,1950
20191026,2103
20191027,3038
20191028,2105
20191029,2001
20191030,2082
20191031,1899
20191101,2360
20191102,2137
20191103,2320
20191104,2208
20191105,2226
20191106,2242
20191107,2173
20191108,2131
20191109,2002
20191110,2419
20191111,2369
20191112,2036
20191113,2141
20191114,2265
20191115,2572
20191116,1974
20191117,3652
20191118,7071
20191119,7470
20191120,7119
20191121,6624
20191122,7225
20191123,6547
20191124,7435
20191125,8433
20191126,5586
20191127,5006
20191128,4634
20191129,4440
20191130,4696
20191201,5035
20191202,4452
20191203,3959
20191204,3920
20191205,3945
20191206,3906
20191207,3605
20191208,3576
20191209,4216
20191210,3318
20191211,3298
20191212,3493
20191213,4103
20191214,3292
20191215,3484
20191216,3355
20191217,3353
