Date,Views
20191018,972
20191019,1060
20191020,1158
20191021,1242
20191022,2487
20191023,1764
20191024,1504
20191025,1454
20191026,1357
20191027,1439
20191028,1496
20191029,1787
20191030,1494
20191031,1409
20191101,1247
20191102,1299
20191103,1399
20191104,1453
20191105,1450
20191106,1386
20191107,1423
20191108,1392
20191109,1357
20191110,1366
20191111,1511
20191112,1635
20191113,2133
20191114,2129
20191115,2128
20191116,2422
20191117,2711
20191118,3051
20191119,3601
20191120,2906
20191121,3351
20191122,3103
20191123,3270
20191124,3508
20191125,3377
20191126,3109
20191127,2833
20191128,2848
20191129,2734
20191130,3272
20191201,3562
20191202,3374
20191203,2951
20191204,2622
20191205,2515
20191206,2480
20191207,2722
20191208,2903
20191209,3009
20191210,2772
20191211,2623
20191212,2633
20191213,2578
20191214,3149
20191215,4131
20191216,4064
20191217,3763
