Date,Views
20161010,480
20161011,561
20161012,584
20161013,595
20161014,502
20161015,383
20161016,443
20161017,486
20161018,523
20161019,585
20161020,716
20161021,500
20161022,461
20161023,418
20161024,508
20161025,517
20161026,581
20161027,563
20161028,865
20161029,445
20161030,427
20161031,566
20161101,482
20161102,601
20161103,618
20161104,917
20161105,680
20161106,666
20161107,693
20161108,633
20161109,640
20161110,1020
20161111,978
20161112,664
20161113,704
20161114,1083
20161115,1609
20161116,1362
20161117,1022
20161118,990
20161119,763
20161120,768
20161121,857
20161122,824
20161123,621
20161124,494
20161125,485
20161126,518
20161127,1116
20161128,735
20161129,786
20161130,855
20161201,866
20161202,815
20161203,686
20161204,551
20161205,881
20161206,1130
20161207,768
20161208,668
20161209,643
