Date,Views
20161010,55
20161011,46
20161012,64
20161013,47
20161014,140
20161015,63
20161016,42
20161017,452
20161018,1099
20161019,305
20161020,223
20161021,161
20161022,149
20161023,119
20161024,118
20161025,158
20161026,146
20161027,161
20161028,137
20161029,116
20161030,81
20161031,86
20161101,80
20161102,60
20161103,113
20161104,86
20161105,52
20161106,124
20161107,194
20161108,95
20161109,66
20161110,139
20161111,89
20161112,89
20161113,89
20161114,100
20161115,94
20161116,79
20161117,96
20161118,88
20161119,109
20161120,50
20161121,104
20161122,100
20161123,112
20161124,77
20161125,112
20161126,82
20161127,91
20161128,64
20161129,91
20161130,115
20161201,70
20161202,76
20161203,62
20161204,57
20161205,71
20161206,81
20161207,72
20161208,49
20161209,51
