Date,Views
20161010,102
20161011,130
20161012,108
20161013,138
20161014,108
20161015,57
20161016,39
20161017,109
20161018,92
20161019,140
20161020,108
20161021,105
20161022,60
20161023,80
20161024,111
20161025,141
20161026,121
20161027,131
20161028,110
20161029,41
20161030,60
20161031,145
20161101,128
20161102,138
20161103,116
20161104,118
20161105,74
20161106,44
20161107,181
20161108,150
20161109,104
20161110,124
20161111,103
20161112,61
20161113,43
20161114,118
20161115,147
20161116,346
20161117,146
20161118,123
20161119,58
20161120,44
20161121,139
20161122,125
20161123,96
20161124,72
20161125,59
20161126,59
20161127,49
20161128,129
20161129,105
20161130,118
20161201,117
20161202,112
20161203,50
20161204,61
20161205,117
20161206,178
20161207,148
20161208,101
20161209,130
