Date,Views
20161010,908
20161011,660
20161012,762
20161013,2581
20161014,1285
20161015,813
20161016,727
20161017,687
20161018,700
20161019,907
20161020,994
20161021,664
20161022,591
20161023,547
20161024,500
20161025,723
20161026,571
20161027,512
20161028,934
20161029,453
20161030,533
20161031,513
20161101,544
20161102,475
20161103,533
20161104,607
20161105,675
20161106,1057
20161107,1259
20161108,1575
20161109,5271
20161110,4807
20161111,3605
20161112,3546
20161113,2630
20161114,2106
20161115,1687
20161116,1224
20161117,903
20161118,882
20161119,924
20161120,741
20161121,829
20161122,747
20161123,628
20161124,558
20161125,502
20161126,471
20161127,544
20161128,573
20161129,643
20161130,551
20161201,583
20161202,450
20161203,371
20161204,439
20161205,415
20161206,1231
20161207,1155
20161208,709
20161209,506
