Date,Views
20170724,189
20170725,171
20170726,130
20170727,152
20170728,163
20170729,112
20170730,150
20170731,132
20170801,138
20170802,145
20170803,149
20170804,161
20170805,141
20170806,138
20170807,182
20170808,276
20170809,216
20170810,189
20170811,182
20170812,202
20170813,257
20170814,218
20170815,198
20170816,176
20170817,176
20170818,152
20170819,137
20170820,141
20170821,182
20170822,171
20170823,155
20170824,172
20170825,128
20170826,160
20170827,166
20170828,194
20170829,189
20170830,152
20170831,172
20170901,229
20170902,213
20170903,179
20170904,159
20170905,168
20170906,179
20170907,197
20170908,138
20170909,134
20170910,154
20170911,169
20170912,185
20170913,182
20170914,181
20170915,156
20170916,404
20170917,166
20170918,182
20170919,148
20170920,172
20170921,167
20170922,164
