Date,Views
20210518,3368
20210519,3587
20210520,3716
20210521,3456
20210522,3016
20210523,3453
20210524,4348
20210525,4069
20210526,3354
20210527,3764
20210528,4363
20210529,3816
20210530,4334
20210531,4654
20210601,4511
20210602,4401
20210603,4404
20210604,4033
20210605,3626
20210606,3761
20210607,3720
20210608,3764
20210609,3754
20210610,3641
20210611,3884
20210612,3524
20210613,3793
20210614,3808
20210615,3956
20210616,3880
20210617,3872
20210618,3615
20210619,3605
20210620,3311
20210621,3442
20210622,3380
20210623,3217
20210624,3505
20210625,3211
20210626,3242
20210627,3320
20210628,3423
20210629,3738
20210630,3993
20210701,3961
20210702,4039
20210703,2775
20210704,2968
20210705,3259
20210706,3451
20210707,3075
20210708,3140
20210709,3132
20210710,2762
20210711,2684
20210712,3459
20210713,3646
20210714,3350
20210715,3395
20210716,3895
20210717,3483
