Date,Views
20210518,3444
20210519,3626
20210520,3517
20210521,3335
20210522,3493
20210523,3559
20210524,3560
20210525,3936
20210526,3366
20210527,3630
20210528,3268
20210529,3473
20210530,3791
20210531,3708
20210601,3676
20210602,3363
20210603,3420
20210604,3806
20210605,3078
20210606,2987
20210607,3016
20210608,3377
20210609,3322
20210610,2974
20210611,3585
20210612,3122
20210613,3423
20210614,3143
20210615,3145
20210616,4332
20210617,6110
20210618,3556
20210619,3844
20210620,3593
20210621,3633
20210622,2994
20210623,3616
20210624,3423
20210625,3132
20210626,2983
20210627,3025
20210628,3262
20210629,3218
20210630,3097
20210701,3017
20210702,3267
20210703,3604
20210704,3555
20210705,3585
20210706,3302
20210707,3411
20210708,3182
20210709,3241
20210710,3514
20210711,3606
20210712,3372
20210713,3106
20210714,2843
20210715,3210
20210716,2824
20210717,3087
