Date,Views
20210518,4031
20210519,3818
20210520,3970
20210521,3778
20210522,3332
20210523,3948
20210524,4127
20210525,4392
20210526,3945
20210527,4305
20210528,3829
20210529,3404
20210530,3909
20210531,4516
20210601,5193
20210602,3987
20210603,3806
20210604,3379
20210605,3242
20210606,3270
20210607,3663
20210608,3663
20210609,3248
20210610,3396
20210611,3228
20210612,2984
20210613,3219
20210614,3471
20210615,3173
20210616,3244
20210617,3506
20210618,3411
20210619,3446
20210620,4149
20210621,3751
20210622,3487
20210623,3008
20210624,3167
20210625,2967
20210626,3052
20210627,3210
20210628,3336
20210629,3245
20210630,3256
20210701,3397
20210702,3492
20210703,3749
20210704,3900
20210705,4003
20210706,3810
20210707,4974
20210708,3643
20210709,3503
20210710,3541
20210711,3347
20210712,3557
20210713,3587
20210714,3901
20210715,3594
20210716,3542
20210717,4099
