Date,Views
20170909,542
20170910,504
20170911,666
20170912,1033
20170913,728
20170914,804
20170915,807
20170916,640
20170917,648
20170918,799
20170919,804
20170920,791
20170921,718
20170922,760
20170923,649
20170924,630
20170925,778
20170926,743
20170927,805
20170928,749
20170929,849
20170930,694
20171001,720
20171002,758
20171003,787
20171004,796
20171005,768
20171006,798
20171007,683
20171008,749
20171009,880
20171010,847
20171011,939
20171012,891
20171013,851
20171014,815
20171015,855
20171016,867
20171017,1113
20171018,991
20171019,902
20171020,854
20171021,717
20171022,725
20171023,856
20171024,865
20171025,1187
20171026,923
20171027,1286
20171028,885
20171029,842
20171030,791
20171031,882
20171101,886
20171102,879
20171103,774
20171104,645
20171105,738
20171106,835
20171107,855
20171108,894
