Date,Views
20180324,869
20180325,880
20180326,910
20180327,862
20180328,873
20180329,867
20180330,1074
20180331,1015
20180401,1791
20180402,1262
20180403,2431
20180404,946
20180405,859
20180406,974
20180407,790
20180408,929
20180409,952
20180410,957
20180411,912
20180412,917
20180413,889
20180414,983
20180415,915
20180416,933
20180417,797
20180418,800
20180419,950
20180420,899
20180421,835
20180422,922
20180423,1171
20180424,882
20180425,883
20180426,856
20180427,797
20180428,790
20180429,899
20180430,1029
20180501,774
20180502,1073
20180503,844
20180504,823
20180505,749
20180506,814
20180507,866
20180508,842
20180509,869
20180510,810
20180511,773
20180512,1035
20180513,1149
20180514,1100
20180515,1081
20180516,1092
20180517,1524
20180518,2303
20180519,17541
20180520,7905
20180521,3912
20180522,3004
20180523,2024
