Date,Views
20180324,11100
20180325,10865
20180326,9867
20180327,9143
20180328,8985
20180329,9216
20180330,10193
20180331,10002
20180401,12830
20180402,12544
20180403,12225
20180404,11976
20180405,10247
20180406,9998
20180407,10486
20180408,11268
20180409,11675
20180410,12548
20180411,11577
20180412,10686
20180413,9693
20180414,9847
20180415,12332
20180416,11239
20180417,9710
20180418,10516
20180419,13608
20180420,13904
20180421,20720
20180422,19280
20180423,172526
20180424,125023
20180425,69125
20180426,61512
20180427,207269
20180428,56921
20180429,37053
20180430,26838
20180501,24527
20180502,24601
20180503,20172
20180504,18475
20180505,18547
20180506,28293
20180507,19344
20180508,16859
20180509,15593
20180510,16207
20180511,18145
20180512,25531
20180513,32680
20180514,37750
20180515,39506
20180516,48328
20180517,62819
20180518,115404
20180519,903648
20180520,585747
20180521,320887
20180522,203866
20180523,123105
