Date,Views
20180111,4418
20180112,4814
20180113,5318
20180114,6623
20180115,6595
20180116,5103
20180117,4294
20180118,3842
20180119,3734
20180120,4251
20180121,5029
20180122,5799
20180123,5724
20180124,5142
20180125,4650
20180126,4402
20180127,5333
20180128,6507
20180129,5482
20180130,4270
20180131,3944
20180201,3921
20180202,4001
20180203,4577
20180204,5320
20180205,3765
20180206,4261
20180207,3975
20180208,3708
20180209,3234
20180210,3690
20180211,4443
20180212,3523
20180213,2067
20180214,2148
20180215,2762
20180216,2787
20180217,3563
20180218,4054
20180219,4117
20180220,3334
20180221,3545
20180222,3054
20180223,2890
20180224,3974
20180225,4010
20180226,3727
20180227,2941
20180228,3064
20180301,2923
20180302,2995
20180303,3671
20180304,4577
20180305,3213
20180306,2740
20180307,2614
20180308,2955
20180309,2626
20180310,3102
20180311,3919
20180312,3327
