Date,Views
20180111,14
20180112,16
20180113,7
20180114,27
20180115,18
20180116,17
20180117,10
20180118,8
20180119,9
20180120,16
20180121,12
20180122,11
20180123,11
20180124,13
20180125,14
20180126,15
20180127,14
20180128,14
20180129,12
20180130,11
20180131,10
20180201,12
20180202,6
20180203,10
20180204,16
20180205,11
20180206,8
20180207,9
20180208,8
20180209,13
20180210,7
20180211,12
20180212,8
20180213,10
20180214,11
20180215,9
20180216,10
20180217,6
20180218,10
20180219,6
20180220,2
20180221,9
20180222,17
20180223,10
20180224,7
20180225,10
20180226,9
20180227,13
20180228,6
20180301,10
20180302,15
20180303,11
20180304,11
20180305,16
20180306,6
20180307,7
20180308,11
20180309,5
20180310,12
20180311,11
20180312,8
