Date,Views
20180422,835
20180423,1060
20180424,1087
20180425,1272
20180426,946
20180427,846
20180428,764
20180429,817
20180430,1069
20180501,995
20180502,996
20180503,930
20180504,881
20180505,829
20180506,869
20180507,1145
20180508,1046
20180509,1080
20180510,1091
20180511,900
20180512,712
20180513,833
20180514,1037
20180515,1043
20180516,1072
20180517,1158
20180518,1071
20180519,937
20180520,998
20180521,1266
20180522,1199
20180523,1145
20180524,1139
20180525,946
20180526,878
20180527,934
20180528,975
20180529,1004
20180530,947
20180531,1035
20180601,893
20180602,1023
20180603,1013
20180604,1180
20180605,1066
20180606,1043
20180607,1006
20180608,959
20180609,856
20180610,1031
20180611,1076
20180612,1235
20180613,1061
20180614,1025
20180615,875
20180616,784
20180617,894
20180618,1237
20180619,1113
20180620,1066
20180621,933
