Date,Views
20180422,377
20180423,573
20180424,549
20180425,442
20180426,387
20180427,538
20180428,412
20180429,387
20180430,340
20180501,375
20180502,326
20180503,322
20180504,332
20180505,295
20180506,367
20180507,374
20180508,315
20180509,324
20180510,289
20180511,299
20180512,366
20180513,379
20180514,433
20180515,464
20180516,552
20180517,622
20180518,839
20180519,3455
20180520,3051
20180521,2038
20180522,1610
20180523,1111
20180524,979
20180525,1043
20180526,922
20180527,780
20180528,779
20180529,610
20180530,573
20180531,524
20180601,460
20180602,568
20180603,563
20180604,498
20180605,499
20180606,408
20180607,422
20180608,358
20180609,471
20180610,528
20180611,440
20180612,354
20180613,359
20180614,349
20180615,369
20180616,302
20180617,355
20180618,335
20180619,284
20180620,653
20180621,356
