Date,Views
20210731,10
20210801,6
20210802,7
20210803,6
20210804,12
20210805,15
20210806,18
20210807,10
20210808,7
20210809,8
20210810,24
20210811,17
20210812,12
20210813,16
20210814,7
20210815,21
20210816,13
20210817,15
20210818,18
20210819,13
20210820,23
20210821,16
20210822,18
20210823,11
20210824,8
20210825,13
20210826,14
20210827,18
20210828,99
20210829,439
20210830,223
20210831,93
20210901,70
20210902,75
20210903,41
20210904,53
20210905,56
20210906,30
20210907,18
20210908,30
20210909,9
20210910,18
20210911,30
20210912,14
20210913,15
20210914,8
20210915,11
20210916,23
20210917,20
20210918,16
20210919,9
20210920,21
20210921,12
20210922,8
20210923,5
20210924,3
20210925,11
20210926,18
20210927,17
20210928,19
20210929,17
