Date,Views
20210731,233
20210801,231
20210802,240
20210803,233
20210804,233
20210805,211
20210806,210
20210807,223
20210808,253
20210809,212
20210810,289
20210811,279
20210812,372
20210813,422
20210814,451
20210815,536
20210816,579
20210817,572
20210818,614
20210819,562
20210820,595
20210821,739
20210822,833
20210823,448
20210824,380
20210825,420
20210826,890
20210827,2341
20210828,3574
20210829,6918
20210830,4424
20210831,2255
20210901,1746
20210902,1598
20210903,1177
20210904,795
20210905,867
20210906,759
20210907,842
20210908,756
20210909,742
20210910,663
20210911,676
20210912,931
20210913,1250
20210914,1105
20210915,1157
20210916,1409
20210917,784
20210918,920
20210919,556
20210920,446
20210921,418
20210922,417
20210923,429
20210924,570
20210925,439
20210926,336
20210927,385
20210928,348
20210929,389
