Date,Views
20210731,24
20210801,46
20210802,43
20210803,36
20210804,48
20210805,48
20210806,46
20210807,36
20210808,34
20210809,52
20210810,43
20210811,49
20210812,46
20210813,61
20210814,40
20210815,60
20210816,212
20210817,134
20210818,70
20210819,150
20210820,117
20210821,129
20210822,105
20210823,83
20210824,57
20210825,50
20210826,74
20210827,68
20210828,101
20210829,225
20210830,177
20210831,108
20210901,106
20210902,169
20210903,160
20210904,129
20210905,117
20210906,109
20210907,108
20210908,85
20210909,95
20210910,94
20210911,68
20210912,82
20210913,82
20210914,77
20210915,82
20210916,71
20210917,70
20210918,60
20210919,54
20210920,64
20210921,73
20210922,89
20210923,80
20210924,70
20210925,72
20210926,90
20210927,83
20210928,70
20210929,61
