Date,Views
20210731,12
20210801,3
20210802,16
20210803,5
20210804,10
20210805,12
20210806,14
20210807,22
20210808,12
20210809,11
20210810,11
20210811,10
20210812,21
20210813,8
20210814,13
20210815,13
20210816,6
20210817,8
20210818,12
20210819,14
20210820,18
20210821,19
20210822,15
20210823,11
20210824,13
20210825,17
20210826,6
20210827,12
20210828,15
20210829,10
20210830,11
20210831,12
20210901,12
20210902,10
20210903,11
20210904,12
20210905,13
20210906,8
20210907,14
20210908,21
20210909,11
20210910,17
20210911,9
20210912,5
20210913,7
20210914,10
20210915,16
20210916,6
20210917,48
20210918,8
20210919,3
20210920,10
20210921,13
20210922,10
20210923,16
20210924,19
20210925,14
20210926,9
20210927,16
20210928,13
20210929,9
