Date,Views
20161222,1986
20161223,1429
20161224,924
20161225,814
20161226,889
20161227,982
20161228,1222
20161229,929
20161230,1032
20161231,975
20170101,955
20170102,926
20170103,1008
20170104,1158
20170105,1359
20170106,1558
20170107,1378
20170108,1107
20170109,936
20170110,2222
20170111,6542
20170112,8046
20170113,12991
20170114,12093
20170115,5613
20170116,3166
20170117,2289
20170118,1690
20170119,2092
20170120,2144
20170121,2282
20170122,6291
20170123,10790
20170124,18548
20170125,10028
20170126,3021
20170127,2088
20170128,1588
20170129,1436
20170130,1543
20170131,2586
20170201,1461
20170202,4960
20170203,1814
20170204,1166
20170205,1146
20170206,1144
20170207,925
20170208,943
20170209,948
20170210,1079
20170211,905
20170212,945
20170213,908
20170214,1640
20170215,3392
20170216,3226
20170217,2541
20170218,2727
20170219,2020
20170220,1464
