Date,Views
20161222,1511
20161223,1305
20161224,1202
20161225,1242
20161226,1570
20161227,1584
20161228,1635
20161229,1876
20161230,1641
20161231,1372
20170101,1298
20170102,1953
20170103,1857
20170104,1706
20170105,1599
20170106,1702
20170107,1694
20170108,1912
20170109,1906
20170110,1826
20170111,1931
20170112,1961
20170113,1892
20170114,1607
20170115,1895
20170116,2168
20170117,2175
20170118,2457
20170119,2305
20170120,3423
20170121,2776
20170122,2774
20170123,2664
20170124,2943
20170125,2631
20170126,2508
20170127,2431
20170128,2365
20170129,2790
20170130,2874
20170131,2589
20170201,2674
20170202,2415
20170203,2354
20170204,2076
20170205,2429
20170206,2272
20170207,2375
20170208,2223
20170209,2258
20170210,2030
20170211,1755
20170212,2024
20170213,2286
20170214,2018
20170215,2170
20170216,2318
20170217,2053
20170218,2057
20170219,2362
20170220,3143
