Date,Views
20161222,37
20161223,20
20161224,26
20161225,28
20161226,13
20161227,26
20161228,44
20161229,34
20161230,31
20161231,25
20170101,22
20170102,20
20170103,33
20170104,30
20170105,35
20170106,32
20170107,21
20170108,29
20170109,22
20170110,29
20170111,39
20170112,22
20170113,64
20170114,33
20170115,27
20170116,37
20170117,109
20170118,171
20170119,144
20170120,81
20170121,39
20170122,35
20170123,44
20170124,20
20170125,34
20170126,21
20170127,31
20170128,21
20170129,13
20170130,23
20170131,24
20170201,29
20170202,19
20170203,31
20170204,25
20170205,33
20170206,12
20170207,24
20170208,30
20170209,25
20170210,22
20170211,21
20170212,13
20170213,18
20170214,20
20170215,23
20170216,43
20170217,26
20170218,22
20170219,25
20170220,29
