Date,Views
20161009,93
20161010,83
20161011,57
20161012,77
20161013,93
20161014,73
20161015,94
20161016,66
20161017,72
20161018,83
20161019,78
20161020,96
20161021,79
20161022,87
20161023,83
20161024,83
20161025,70
20161026,90
20161027,93
20161028,81
20161029,68
20161030,92
20161031,70
20161101,78
20161102,88
20161103,82
20161104,82
20161105,91
20161106,94
20161107,124
20161108,153
20161109,160
20161110,152
20161111,138
20161112,139
20161113,142
20161114,130
20161115,94
20161116,119
20161117,105
20161118,92
20161119,82
20161120,102
20161121,96
20161122,85
20161123,96
20161124,88
20161125,78
20161126,91
20161127,89
20161128,74
20161129,96
20161130,77
20161201,93
20161202,63
20161203,75
20161204,96
20161205,94
20161206,71
20161207,72
20161208,111
