Date,Views
20161009,575
20161010,570
20161011,574
20161012,605
20161013,548
20161014,618
20161015,502
20161016,517
20161017,602
20161018,667
20161019,648
20161020,624
20161021,450
20161022,353
20161023,327
20161024,481
20161025,404
20161026,696
20161027,795
20161028,713
20161029,344
20161030,393
20161031,615
20161101,709
20161102,644
20161103,889
20161104,1086
20161105,1023
20161106,819
20161107,1491
20161108,3117
20161109,9066
20161110,5142
20161111,2557
20161112,2131
20161113,1645
20161114,1448
20161115,1122
20161116,1142
20161117,895
20161118,800
20161119,617
20161120,687
20161121,739
20161122,774
20161123,619
20161124,420
20161125,379
20161126,393
20161127,505
20161128,615
20161129,530
20161130,512
20161201,409
20161202,402
20161203,352
20161204,391
20161205,481
20161206,490
20161207,402
20161208,378
