Date,Views
20161009,3848
20161010,3845
20161011,1896
20161012,1791
20161013,1534
20161014,1487
20161015,1556
20161016,1352
20161017,1843
20161018,2331
20161019,4471
20161020,3345
20161021,1688
20161022,960
20161023,8467
20161024,8122
20161025,2984
20161026,1646
20161027,2120
20161028,2583
20161029,3056
20161030,14196
20161031,11677
20161101,6949
20161102,3420
20161103,9069
20161104,4641
20161105,3008
20161106,3717
20161107,6427
20161108,5244
20161109,9064
20161110,4100
20161111,4674
20161112,4041
20161113,2302
20161114,2001
20161115,3463
20161116,2871
20161117,2218
20161118,1455
20161119,876
20161120,1090
20161121,982
20161122,771
20161123,657
20161124,562
20161125,533
20161126,551
20161127,571
20161128,876
20161129,534
20161130,518
20161201,603
20161202,6113
20161203,3237
20161204,8285
20161205,3951
20161206,1259
20161207,629
20161208,641
