Date,Views
20161009,3701
20161010,4564
20161011,4579
20161012,5283
20161013,4305
20161014,4141
20161015,3651
20161016,3728
20161017,4148
20161018,4565
20161019,4779
20161020,4495
20161021,4318
20161022,3861
20161023,4107
20161024,4262
20161025,5194
20161026,4535
20161027,4718
20161028,3630
20161029,2672
20161030,3542
20161031,4199
20161101,3462
20161102,3378
20161103,5871
20161104,3431
20161105,2963
20161106,3123
20161107,3954
20161108,4131
20161109,3748
20161110,3443
20161111,3304
20161112,3030
20161113,2816
20161114,3441
20161115,3568
20161116,4013
20161117,4045
20161118,3068
20161119,2870
20161120,3018
20161121,3790
20161122,4105
20161123,3598
20161124,2872
20161125,2909
20161126,2731
20161127,2666
20161128,3470
20161129,3563
20161130,4187
20161201,3708
20161202,3214
20161203,2811
20161204,3505
20161205,3404
20161206,3380
20161207,3380
20161208,3425
