Date,Views
20201004,2110
20201005,2314
20201006,2842
20201007,2887
20201008,3315
20201009,2816
20201010,2418
20201011,2724
20201012,2889
20201013,3111
20201014,2801
20201015,2950
20201016,2974
20201017,2574
20201018,2794
20201019,3182
20201020,3557
20201021,3378
20201022,3520
20201023,4085
20201024,3808
20201025,6432
20201026,5434
20201027,5185
20201028,5496
20201029,5359
20201030,5694
20201031,4804
20201101,5893
20201102,9588
20201103,19028
20201104,64991
20201105,45881
20201106,39009
20201107,32473
20201108,27426
20201109,16354
20201110,11566
20201111,9971
20201112,9098
20201113,9823
20201114,9077
20201115,6720
20201116,5648
20201117,5031
20201118,4917
20201119,4281
20201120,5083
20201121,4361
20201122,3786
20201123,3788
20201124,4407
20201125,3819
20201126,3129
20201127,2822
20201128,3165
20201129,2931
20201130,3067
20201201,2995
20201202,2857
20201203,2785
