Date,Views
20201004,161
20201005,195
20201006,218
20201007,202
20201008,313
20201009,255
20201010,240
20201011,198
20201012,248
20201013,253
20201014,247
20201015,257
20201016,220
20201017,203
20201018,216
20201019,260
20201020,252
20201021,278
20201022,257
20201023,228
20201024,195
20201025,207
20201026,232
20201027,263
20201028,221
20201029,212
20201030,236
20201031,171
20201101,168
20201102,321
20201103,447
20201104,870
20201105,285
20201106,180
20201107,121
20201108,155
20201109,131
20201110,168
20201111,111
20201112,93
20201113,102
20201114,109
20201115,87
20201116,77
20201117,113
20201118,102
20201119,149
20201120,105
20201121,105
20201122,90
20201123,109
20201124,110
20201125,100
20201126,85
20201127,92
20201128,98
20201129,99
20201130,106
20201201,94
20201202,112
20201203,119
