Date,Views
20201004,139
20201005,157
20201006,126
20201007,125
20201008,183
20201009,308
20201010,204
20201011,178
20201012,191
20201013,232
20201014,174
20201015,194
20201016,353
20201017,188
20201018,206
20201019,223
20201020,230
20201021,248
20201022,204
20201023,225
20201024,202
20201025,221
20201026,253
20201027,260
20201028,297
20201029,429
20201030,254
20201031,201
20201101,224
20201102,275
20201103,290
20201104,256
20201105,261
20201106,245
20201107,356
20201108,311
20201109,324
20201110,773
20201111,285
20201112,208
20201113,149
20201114,131
20201115,178
20201116,221
20201117,185
20201118,170
20201119,182
20201120,145
20201121,152
20201122,181
20201123,188
20201124,182
20201125,202
20201126,170
20201127,165
20201128,152
20201129,165
20201130,129
20201201,206
20201202,157
20201203,182
