Date,Views
20201004,4680
20201005,6013
20201006,6613
20201007,10689
20201008,7216
20201009,5797
20201010,4288
20201011,4144
20201012,5385
20201013,5382
20201014,5132
20201015,4364
20201016,4331
20201017,4289
20201018,3775
20201019,3552
20201020,3003
20201021,4067
20201022,4776
20201023,4751
20201024,5188
20201025,4955
20201026,4856
20201027,4798
20201028,4542
20201029,11149
20201030,6446
20201031,3668
20201101,3408
20201102,3752
20201103,4289
20201104,5267
20201105,5425
20201106,6470
20201107,6597
20201108,7492
20201109,6302
20201110,5148
20201111,8801
20201112,9958
20201113,6623
20201114,5682
20201115,5028
20201116,5373
20201117,4266
20201118,7031
20201119,10260
20201120,10130
20201121,6411
20201122,5249
20201123,5487
20201124,10380
20201125,5751
20201126,4860
20201127,3460
20201128,3184
20201129,4619
20201130,4813
20201201,4042
20201202,3489
20201203,3811
