Date,Views
20201004,12399
20201005,10482
20201006,9627
20201007,10417
20201008,16439
20201009,10371
20201010,10211
20201011,10320
20201012,8677
20201013,9019
20201014,8166
20201015,8072
20201016,8828
20201017,9197
20201018,9630
20201019,9210
20201020,9254
20201021,9675
20201022,9225
20201023,13762
20201024,11868
20201025,11763
20201026,11651
20201027,10993
20201028,10450
20201029,10290
20201030,11158
20201031,10797
20201101,13133
20201102,15201
20201103,25922
20201104,61314
20201105,49108
20201106,46894
20201107,78161
20201108,99524
20201109,45852
20201110,29705
20201111,23644
20201112,21984
20201113,18239
20201114,18505
20201115,19207
20201116,15041
20201117,14825
20201118,13621
20201119,12303
20201120,12869
20201121,14804
20201122,19151
20201123,12915
20201124,11448
20201125,9841
20201126,9620
20201127,8748
20201128,9866
20201129,9327
20201130,8495
20201201,8011
20201202,8040
20201203,8065
