Date,Views
20201004,233
20201005,279
20201006,280
20201007,392
20201008,465
20201009,323
20201010,275
20201011,311
20201012,312
20201013,342
20201014,306
20201015,277
20201016,399
20201017,292
20201018,304
20201019,380
20201020,401
20201021,352
20201022,390
20201023,406
20201024,321
20201025,324
20201026,418
20201027,444
20201028,401
20201029,472
20201030,440
20201031,355
20201101,365
20201102,672
20201103,897
20201104,744
20201105,467
20201106,438
20201107,400
20201108,392
20201109,314
20201110,212
20201111,207
20201112,159
20201113,141
20201114,126
20201115,103
20201116,107
20201117,90
20201118,135
20201119,91
20201120,102
20201121,94
20201122,79
20201123,83
20201124,84
20201125,84
20201126,77
20201127,64
20201128,83
20201129,164
20201130,156
20201201,76
20201202,87
20201203,54
