Date,Views
20201004,202
20201005,269
20201006,305
20201007,380
20201008,423
20201009,331
20201010,312
20201011,352
20201012,395
20201013,456
20201014,464
20201015,677
20201016,466
20201017,380
20201018,435
20201019,566
20201020,696
20201021,528
20201022,697
20201023,741
20201024,642
20201025,782
20201026,884
20201027,973
20201028,1151
20201029,1226
20201030,1343
20201031,1111
20201101,1605
20201102,2859
20201103,7230
20201104,36533
20201105,15229
20201106,12163
20201107,9898
20201108,7337
20201109,4011
20201110,2674
20201111,2120
20201112,1502
20201113,1649
20201114,1113
20201115,906
20201116,803
20201117,640
20201118,628
20201119,583
20201120,709
20201121,619
20201122,466
20201123,442
20201124,466
20201125,433
20201126,384
20201127,372
20201128,416
20201129,365
20201130,362
20201201,336
20201202,376
20201203,526
