Date,Views
20201004,32
20201005,41
20201006,37
20201007,40
20201008,40
20201009,40
20201010,37
20201011,37
20201012,40
20201013,41
20201014,55
20201015,54
20201016,49
20201017,42
20201018,25
20201019,37
20201020,45
20201021,31
20201022,27
20201023,33
20201024,36
20201025,50
20201026,50
20201027,61
20201028,41
20201029,40
20201030,58
20201031,44
20201101,60
20201102,63
20201103,66
20201104,192
20201105,100
20201106,84
20201107,95
20201108,83
20201109,66
20201110,46
20201111,44
20201112,58
20201113,55
20201114,56
20201115,37
20201116,50
20201117,28
20201118,39
20201119,56
20201120,58
20201121,32
20201122,66
20201123,52
20201124,40
20201125,31
20201126,29
20201127,25
20201128,27
20201129,38
20201130,29
20201201,24
20201202,43
20201203,40
