Date,Views
20201004,7601
20201005,8538
20201006,8061
20201007,8007
20201008,7905
20201009,7637
20201010,7216
20201011,7918
20201012,8193
20201013,9329
20201014,9241
20201015,7942
20201016,8002
20201017,8250
20201018,8254
20201019,9548
20201020,8617
20201021,8407
20201022,8377
20201023,8152
20201024,8039
20201025,8785
20201026,9609
20201027,9046
20201028,8270
20201029,12114
20201030,19125
20201031,8150
20201101,8746
20201102,8355
20201103,8872
20201104,8444
20201105,7828
20201106,8938
20201107,7637
20201108,8028
20201109,8179
20201110,7926
20201111,7849
20201112,7993
20201113,7395
20201114,7145
20201115,8103
20201116,8616
20201117,8267
20201118,9449
20201119,8601
20201120,7622
20201121,7459
20201122,9646
20201123,8382
20201124,8318
20201125,8180
20201126,7919
20201127,7489
20201128,7421
20201129,7534
20201130,8216
20201201,7854
20201202,8102
20201203,8400
