Date,Views
20201004,450
20201005,515
20201006,590
20201007,3478
20201008,1403
20201009,1176
20201010,1283
20201011,2188
20201012,2213
20201013,1722
20201014,1422
20201015,1768
20201016,1816
20201017,1649
20201018,2482
20201019,2495
20201020,4444
20201021,3695
20201022,2299
20201023,2061
20201024,1648
20201025,4463
20201026,7772
20201027,6825
20201028,4408
20201029,4792
20201030,3456
20201031,3108
20201101,8055
20201102,8811
20201103,5885
20201104,1651
20201105,1011
20201106,827
20201107,947
20201108,946
20201109,640
20201110,567
20201111,458
20201112,370
20201113,323
20201114,262
20201115,240
20201116,241
20201117,220
20201118,188
20201119,173
20201120,205
20201121,179
20201122,211
20201123,246
20201124,218
20201125,163
20201126,148
20201127,144
20201128,118
20201129,145
20201130,183
20201201,120
20201202,117
20201203,88
