Date,Views
20201004,424
20201005,535
20201006,567
20201007,690
20201008,768
20201009,708
20201010,587
20201011,597
20201012,621
20201013,604
20201014,695
20201015,666
20201016,752
20201017,711
20201018,769
20201019,776
20201020,739
20201021,750
20201022,630
20201023,785
20201024,649
20201025,779
20201026,808
20201027,1032
20201028,957
20201029,955
20201030,984
20201031,921
20201101,860
20201102,1654
20201103,3259
20201104,8050
20201105,4335
20201106,3436
20201107,2146
20201108,1754
20201109,1465
20201110,1104
20201111,717
20201112,580
20201113,704
20201114,483
20201115,387
20201116,509
20201117,510
20201118,699
20201119,477
20201120,460
20201121,398
20201122,342
20201123,315
20201124,313
20201125,245
20201126,210
20201127,208
20201128,263
20201129,209
20201130,225
20201201,270
20201202,192
20201203,218
