Date,Views
20210820,670
20210821,718
20210822,715
20210823,781
20210824,765
20210825,785
20210826,876
20210827,704
20210828,786
20210829,774
20210830,677
20210831,736
20210901,667
20210902,702
20210903,683
20210904,724
20210905,623
20210906,700
20210907,674
20210908,779
20210909,689
20210910,631
20210911,642
20210912,662
20210913,668
20210914,663
20210915,1493
20210916,1640
20210917,1392
20210918,719
20210919,777
20210920,840
20210921,763
20210922,666
20210923,670
20210924,671
20210925,680
20210926,738
20210927,1043
20210928,833
20210929,811
20210930,733
20211001,675
20211002,782
20211003,737
20211004,641
20211005,826
20211006,668
20211007,714
20211008,740
20211009,643
20211010,861
20211011,822
20211012,731
20211013,670
20211014,662
20211015,655
20211016,631
20211017,646
20211018,643
20211019,645
