Date,Views
20210820,1221
20210821,1123
20210822,1262
20210823,1574
20210824,1433
20210825,1283
20210826,1220
20210827,1090
20210828,1029
20210829,1415
20210830,1281
20210831,1399
20210901,1594
20210902,1230
20210903,1200
20210904,1006
20210905,1115
20210906,1778
20210907,1195
20210908,1175
20210909,1145
20210910,1165
20210911,1120
20210912,1185
20210913,1154
20210914,1274
20210915,1510
20210916,1409
20210917,1333
20210918,1011
20210919,1156
20210920,1362
20210921,1206
20210922,1214
20210923,1255
20210924,1131
20210925,1184
20210926,1364
20210927,1107
20210928,1267
20210929,1197
20210930,1196
20211001,1093
20211002,1011
20211003,1305
20211004,1428
20211005,1435
20211006,1309
20211007,1177
20211008,1097
20211009,1100
20211010,1215
20211011,1127
20211012,1118
20211013,1089
20211014,1065
20211015,988
20211016,984
20211017,1137
20211018,1126
20211019,1158
