Date,Views
20210820,56
20210821,72
20210822,61
20210823,67
20210824,67
20210825,73
20210826,56
20210827,61
20210828,56
20210829,57
20210830,65
20210831,67
20210901,42
20210902,45
20210903,64
20210904,73
20210905,53
20210906,70
20210907,44
20210908,52
20210909,56
20210910,102
20210911,56
20210912,61
20210913,66
20210914,81
20210915,81
20210916,67
20210917,90
20210918,76
20210919,157
20210920,219
20210921,162
20210922,104
20210923,89
20210924,95
20210925,84
20210926,81
20210927,64
20210928,49
20210929,58
20210930,68
20211001,44
20211002,49
20211003,46
20211004,60
20211005,59
20211006,64
20211007,43
20211008,59
20211009,37
20211010,56
20211011,43
20211012,54
20211013,76
20211014,59
20211015,58
20211016,60
20211017,68
20211018,45
20211019,46
