Date,Views
20221009,596
20221010,562
20221011,544
20221012,599
20221013,645
20221014,766
20221015,660
20221016,603
20221017,576
20221018,657
20221019,566
20221020,627
20221021,515
20221022,537
20221023,603
20221024,652
20221025,605
20221026,576
20221027,723
20221028,632
20221029,567
20221030,684
20221031,791
20221101,745
20221102,877
20221103,880
20221104,1009
20221105,869
20221106,948
20221107,1083
20221108,1693
20221109,5540
20221110,1663
20221111,1320
20221112,1267
20221113,1194
20221114,919
20221115,1097
20221116,1309
20221117,920
20221118,798
20221119,767
20221120,838
20221121,696
20221122,734
20221123,713
20221124,615
20221125,623
20221126,694
20221127,742
20221128,594
20221129,624
20221130,596
20221201,539
20221202,544
20221203,593
20221204,636
20221205,587
20221206,588
20221207,747
20221208,751
