Date,Views
20221009,29
20221010,58
20221011,39
20221012,50
20221013,26
20221014,31
20221015,39
20221016,29
20221017,38
20221018,58
20221019,38
20221020,41
20221021,22
20221022,46
20221023,42
20221024,30
20221025,54
20221026,46
20221027,44
20221028,41
20221029,30
20221030,47
20221031,40
20221101,34
20221102,36
20221103,41
20221104,55
20221105,63
20221106,55
20221107,60
20221108,145
20221109,208
20221110,172
20221111,112
20221112,73
20221113,115
20221114,78
20221115,93
20221116,100
20221117,69
20221118,54
20221119,36
20221120,62
20221121,47
20221122,44
20221123,44
20221124,41
20221125,40
20221126,31
20221127,28
20221128,41
20221129,40
20221130,23
20221201,38
20221202,21
20221203,30
20221204,44
20221205,33
20221206,20
20221207,36
20221208,22
