Date,Views
20221009,39
20221010,43
20221011,45
20221012,30
20221013,32
20221014,34
20221015,45
20221016,36
20221017,41
20221018,57
20221019,61
20221020,48
20221021,52
20221022,59
20221023,55
20221024,79
20221025,33
20221026,24
20221027,24
20221028,37
20221029,33
20221030,50
20221031,21
20221101,39
20221102,81
20221103,125
20221104,134
20221105,111
20221106,118
20221107,182
20221108,319
20221109,240
20221110,189
20221111,169
20221112,144
20221113,151
20221114,159
20221115,124
20221116,134
20221117,108
20221118,104
20221119,78
20221120,100
20221121,94
20221122,91
20221123,70
20221124,70
20221125,69
20221126,98
20221127,95
20221128,136
20221129,120
20221130,74
20221201,146
20221202,116
20221203,100
20221204,121
20221205,97
20221206,80
20221207,137
20221208,77
