Date,Views
20221009,130
20221010,207
20221011,168
20221012,189
20221013,205
20221014,264
20221015,163
20221016,189
20221017,252
20221018,340
20221019,272
20221020,249
20221021,264
20221022,236
20221023,241
20221024,317
20221025,178
20221026,261
20221027,523
20221028,205
20221029,185
20221030,194
20221031,189
20221101,288
20221102,281
20221103,261
20221104,308
20221105,318
20221106,322
20221107,498
20221108,683
20221109,922
20221110,679
20221111,462
20221112,339
20221113,376
20221114,332
20221115,348
20221116,321
20221117,217
20221118,196
20221119,199
20221120,236
20221121,189
20221122,252
20221123,197
20221124,182
20221125,219
20221126,223
20221127,186
20221128,194
20221129,211
20221130,163
20221201,177
20221202,149
20221203,151
20221204,157
20221205,154
20221206,184
20221207,121
20221208,140
