Date,Views
20221009,19
20221010,12
20221011,20
20221012,15
20221013,22
20221014,13
20221015,11
20221016,7
20221017,16
20221018,16
20221019,29
20221020,29
20221021,16
20221022,24
20221023,25
20221024,16
20221025,25
20221026,15
20221027,18
20221028,22
20221029,18
20221030,12
20221031,32
20221101,27
20221102,29
20221103,29
20221104,42
20221105,34
20221106,34
20221107,63
20221108,5850
20221109,1719
20221110,361
20221111,206
20221112,172
20221113,234
20221114,184
20221115,190
20221116,169
20221117,196
20221118,142
20221119,107
20221120,146
20221121,74
20221122,70
20221123,111
20221124,111
20221125,88
20221126,74
20221127,94
20221128,81
20221129,85
20221130,71
20221201,60
20221202,43
20221203,43
20221204,68
20221205,57
20221206,61
20221207,76
20221208,37
