Date,Views
20221009,1486
20221010,1099
20221011,1352
20221012,1432
20221013,1432
20221014,2124
20221015,1397
20221016,3303
20221017,2918
20221018,4119
20221019,3209
20221020,2599
20221021,2316
20221022,2039
20221023,1854
20221024,2161
20221025,3184
20221026,2655
20221027,3362
20221028,2914
20221029,2149
20221030,1904
20221031,2300
20221101,2440
20221102,2380
20221103,3296
20221104,7040
20221105,2956
20221106,5654
20221107,4632
20221108,5730
20221109,63767
20221110,15591
20221111,14273
20221112,10170
20221113,7218
20221114,5250
20221115,4252
20221116,5240
20221117,5617
20221118,4457
20221119,2900
20221120,2493
20221121,2070
20221122,1675
20221123,1579
20221124,1589
20221125,1192
20221126,1081
20221127,1244
20221128,1149
20221129,1189
20221130,1434
20221201,1545
20221202,1178
20221203,1045
20221204,1088
20221205,1267
20221206,1350
20221207,1960
20221208,1627
