Date,Views
20221009,39
20221010,36
20221011,47
20221012,43
20221013,40
20221014,50
20221015,33
20221016,36
20221017,50
20221018,54
20221019,49
20221020,50
20221021,53
20221022,33
20221023,53
20221024,48
20221025,50
20221026,45
20221027,49
20221028,40
20221029,42
20221030,49
20221031,48
20221101,47
20221102,56
20221103,170
20221104,260
20221105,307
20221106,317
20221107,528
20221108,1063
20221109,11029
20221110,3447
20221111,1783
20221112,2365
20221113,4553
20221114,1663
20221115,1485
20221116,965
20221117,844
20221118,478
20221119,294
20221120,283
20221121,282
20221122,178
20221123,219
20221124,238
20221125,181
20221126,205
20221127,150
20221128,185
20221129,170
20221130,220
20221201,179
20221202,170
20221203,128
20221204,164
20221205,149
20221206,212
20221207,1224
20221208,360
