Date,Views
20221009,26
20221010,18
20221011,20
20221012,29
20221013,34
20221014,89
20221015,50
20221016,38
20221017,36
20221018,31
20221019,32
20221020,28
20221021,31
20221022,16
20221023,31
20221024,22
20221025,30
20221026,34
20221027,22
20221028,22
20221029,29
20221030,28
20221031,40
20221101,31
20221102,47
20221103,40
20221104,30
20221105,55
20221106,46
20221107,27
20221108,36
20221109,206
20221110,74
20221111,55
20221112,39
20221113,43
20221114,44
20221115,20
20221116,21
20221117,27
20221118,22
20221119,21
20221120,28
20221121,26
20221122,20
20221123,18
20221124,13
20221125,18
20221126,21
20221127,23
20221128,16
20221129,19
20221130,15
20221201,17
20221202,15
20221203,4
20221204,8
20221205,5
20221206,29
20221207,79
20221208,24
