Date,Views
20180527,1594
20180528,1470
20180529,1020
20180530,865
20180531,719
20180601,820
20180602,563
20180603,655
20180604,949
20180605,3451
20180606,1223
20180607,777
20180608,1265
20180609,746
20180610,688
20180611,833
20180612,950
20180613,660
20180614,696
20180615,1082
20180616,379
20180617,1019
20180618,838
20180619,539
20180620,480
20180621,630
20180622,596
20180623,492
20180624,619
20180625,596
20180626,955
20180627,693
20180628,758
20180629,766
20180630,575
20180701,410
20180702,389
20180703,577
20180704,532
20180705,561
20180706,1391
20180707,661
20180708,479
20180709,431
20180710,458
20180711,598
20180712,999
20180713,840
20180714,896
20180715,678
20180716,1033
20180717,1294
20180718,1505
20180719,1870
20180720,1627
20180721,1631
20180722,1583
20180723,2157
20180724,2117
20180725,2178
20180726,1449
