Date,Views
20180527,2458
20180528,1728
20180529,1801
20180530,1790
20180531,1653
20180601,1524
20180602,1390
20180603,1451
20180604,1664
20180605,1750
20180606,1658
20180607,1667
20180608,1501
20180609,1284
20180610,1445
20180611,1607
20180612,1613
20180613,1643
20180614,1566
20180615,1349
20180616,1235
20180617,1348
20180618,1633
20180619,1829
20180620,2196
20180621,1717
20180622,1709
20180623,1406
20180624,1415
20180625,1623
20180626,1644
20180627,1564
20180628,1499
20180629,1856
20180630,1415
20180701,1485
20180702,1625
20180703,1700
20180704,1520
20180705,1653
20180706,1616
20180707,1292
20180708,1471
20180709,1672
20180710,1628
20180711,1680
20180712,1611
20180713,1491
20180714,1329
20180715,1397
20180716,1558
20180717,1622
20180718,1689
20180719,1600
20180720,1362
20180721,1293
20180722,1331
20180723,1430
20180724,1726
20180725,1680
20180726,1577
