Date,Views
20180527,1066
20180528,1201
20180529,1115
20180530,1148
20180531,1169
20180601,1269
20180602,1065
20180603,1258
20180604,1289
20180605,1108
20180606,1170
20180607,1086
20180608,1073
20180609,1032
20180610,1024
20180611,1105
20180612,1093
20180613,1164
20180614,1302
20180615,1008
20180616,969
20180617,949
20180618,1038
20180619,1041
20180620,1033
20180621,980
20180622,1112
20180623,978
20180624,1031
20180625,1167
20180626,1181
20180627,2158
20180628,1865
20180629,1480
20180630,1341
20180701,1914
20180702,2491
20180703,2222
20180704,1828
20180705,2279
20180706,1293
20180707,1098
20180708,1194
20180709,1348
20180710,1299
20180711,1129
20180712,1119
20180713,1122
20180714,1122
20180715,1139
20180716,1135
20180717,1384
20180718,1489
20180719,1451
20180720,1184
20180721,1174
20180722,1142
20180723,1312
20180724,1298
20180725,1297
20180726,1313
