Date,Views
20180527,100
20180528,104
20180529,98
20180530,118
20180531,114
20180601,92
20180602,105
20180603,68
20180604,92
20180605,108
20180606,125
20180607,105
20180608,86
20180609,92
20180610,76
20180611,71
20180612,102
20180613,98
20180614,103
20180615,84
20180616,76
20180617,77
20180618,97
20180619,122
20180620,132
20180621,115
20180622,91
20180623,57
20180624,63
20180625,89
20180626,100
20180627,93
20180628,135
20180629,113
20180630,83
20180701,106
20180702,93
20180703,105
20180704,180
20180705,116
20180706,124
20180707,148
20180708,118
20180709,146
20180710,108
20180711,138
20180712,145
20180713,135
20180714,119
20180715,93
20180716,118
20180717,168
20180718,145
20180719,114
20180720,134
20180721,83
20180722,77
20180723,100
20180724,120
20180725,110
20180726,112
